DATASET_SIMPLEBAR
SEPARATOR,COMMA
DATASET_LABEL,Repeat Genome Percentage
FIELD_LABELS,Percent Genome
FIELD_COLORS,#FF0000
DEFAULT_COLOR,#000000
DEFAULT_FONTSTYLE,normal
DATA
Cluster_0_rnd-2_family-431,0.34
Cluster_1_rnd-2_family-18,0.59
Cluster_2_rnd-1_family-28,0.83
Cluster_3_rnd-1_family-16,1.08
Cluster_4_rnd-2_family-200,0.35
Cluster_5_rnd-1_family-79,0.39
Cluster_6_rnd-1_family-34,0.58
Cluster_7_rnd-2_family-627,0.34
Cluster_8_rnd-1_family-217,0.13
Cluster_9_rnd-1_family-66,0.28
Cluster_10_rnd-1_family-18,0.59
Cluster_11_rnd-1_family-157,0.15
Cluster_12_rnd-1_family-95,0.21
Cluster_13_rnd-1_family-182,0.13
Cluster_14_rnd-1_family-81,0.21
Cluster_15_rnd-2_family-223,0.11
Cluster_16_rnd-1_family-123,0.15
Cluster_17_rnd-2_family-275,0.18
Cluster_18_rnd-1_family-171,0.12
Cluster_19_rnd-1_family-30,0.49
Cluster_20_rnd-1_family-14,0.45
Cluster_21_rnd-1_family-71,0.17
Cluster_22_rnd-1_family-136,0.11
Cluster_23_rnd-2_family-34,0.10
Cluster_24_rnd-1_family-124,0.10
Cluster_26_rnd-1_family-76,0.14
Cluster_27_rnd-1_family-60,0.16
Cluster_28_rnd-2_family-471,0.11
Cluster_29_rnd-1_family-25,0.23
Cluster_30_rnd-1_family-24,0.24
Cluster_31_rnd-1_family-70,0.12
Cluster_33_rnd-1_family-62,0.13
Cluster_35_rnd-1_family-9,0.37
Cluster_38_rnd-1_family-7,0.36
Cluster_42_rnd-1_family-32,0.16
Cluster_43_rnd-1_family-42,0.14
Cluster_52_rnd-1_family-63,0.11
Cluster_54_rnd-1_family-44,0.13
Cluster_63_rnd-1_family-55,0.10
Cluster_80_rnd-1_family-23,0.15
Cluster_90_rnd-1_family-20,0.14
Cluster_98_rnd-1_family-15,0.15
Cluster_99_rnd-1_family-17,0.14
